License Permit ID,Description,Expiration Date,DBA,LegalName,Premises County,Type,Class,Effective Date,Actual Address Of Premises,Additional Address Information,City,State Name,Zip Code,Original Issue Date,Last Issue Date,Legacy_Serial_Number,AKA Address,Georeference
0240-23-141917,Restaurant,1/31/2025,SPICY EMPIRE SKEWER HOT POT,FENG TA INC,Queens,1,240,1/13/2025,147-10 45TH AVE,,FLUSHING,New York,11355,2/22/2023,2/22/2023,1314270,,POINT (-73.81491 40.75554)
0240-23-139711,Restaurant,1/31/2025,JONGRO GOPCHANG,32 BUNGA 2 INC,New York,1,240,2/16/2023,22 W 32ND ST,5TH FL,NEW YORK,New York,10001,2/16/2023,2/16/2023,1346697,,POINT (-73.98681 40.7477)
0240-23-139976,Restaurant,1/31/2025,HOMEMADE BY MIRIAM,HBM TRIBECA LLC,New York,1,240,2/6/2023,88 W BROADWAY,,NEW YORK,New York,10007,2/6/2023,2/6/2023,1340930,,POINT (-74.00941 40.71529)
0240-23-140252,Restaurant,1/31/2025,THE ISLANDER,CROWS NEST BAR & GRILL LLC,Suffolk,1,240,8/8/2023,63 N FERRY RD,,SHELTER ISLAND,New York,11964,8/8/2023,8/8/2023,1259838,,POINT (-72.33934 41.0727)
0240-23-142505,Restaurant,1/31/2025,LAZY LOBSTER,BURNS PARK LOBSTER LLC,Nassau,1,240,2/6/2023,5089 MERRICK RD,STORE #4,MASSAPEQUA PARK,New York,11762,2/6/2023,2/6/2023,1346543,,POINT (-73.44754 40.66673)
0240-23-142408,Restaurant,1/31/2025,,WONDER LIFE INC,Kings,1,240,2/15/2023,5118 7TH AVE,,BROOKLYN,New York,11220,2/15/2023,2/15/2023,1345642,,POINT (-74.00692 40.64146)
0240-23-139757,Restaurant,1/31/2025,RAMEN TOTEM,KUNG FU NOODLE RAMEN INC,Nassau,1,240,2/9/2023,69 MIDDLE NECK RD,,GREAT NECK,New York,11021,2/9/2023,2/9/2023,1349272,,POINT (-73.72933 40.78849)
0240-23-139685,Restaurant,1/31/2025,PIZZA D'AMORE,MILO BEAR INC,Kings,1,240,12/9/2024,2147 MILL AVE,,BROOKLYN,New York,11234,2/14/2023,2/14/2023,1346699,,POINT (-73.91291 40.61457)
0240-23-140211,Restaurant,1/31/2025,,GROTTO AUTHENTIC CARIBBEAN CUISINE LLC THE,Kings,1,240,5/17/2023,321 NOSTRAND AVE,,BROOKLYN,New York,11216,5/17/2023,5/17/2023,1321500,,POINT (-73.95096 40.68733)
0240-23-141145,Restaurant,1/31/2025,RABBIT,WARLORD ENTERPRISES LLC,New York,1,240,2/9/2023,122 E 7TH ST,#STOW,NEW YORK,New York,10009,2/9/2023,2/9/2023,1159283,,POINT (-73.98416 40.72632)
